Year,Trade_Flow,Partner_ISO,Partner_Country,HS_Code,Product_Description,Value_USD
2015,Export,SVK,Slovakia,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",77130.0
2015,Export,SVN,Slovenia,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",3640962.0
2015,Export,ZAF,South Africa,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",2190650.0
2015,Export,ZWE,Zimbabwe,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1109805.0
2015,Export,ESP,Spain,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",64175800.0
2015,Export,SDN,Sudan,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",153970.0
2015,Export,SWE,Sweden,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",11978602.0
2015,Export,CHE,Switzerland,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",28115233.0
2015,Export,SYR,Syria,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1300001.0
2015,Export,THA,Thailand,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",181196715.0
2015,Export,TGO,Togo,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",119655.0
2015,Export,TTO,Trinidad and Tobago,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1191837.0
2015,Export,ARE,United Arab Emirates,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",48639041.0
2015,Export,TUN,Tunisia,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",776961.0
2015,Export,TUR,Türkiye,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",6375830.0
2015,Export,UKR,Ukraine,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",10319704.0
2015,Export,EGY,Egypt,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",62362803.0
2015,Export,GBR,United Kingdom,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",112303736.0
2015,Export,TZA,United Rep. of Tanzania,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",352980.0
2015,Export,USA,USA,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",812714850.0
2015,Export,URY,Uruguay,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",3494298.0
2015,Export,UZB,Uzbekistan,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",145870.0
2015,Export,VEN,Venezuela,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",164595.0
2015,Export,_X ,"Areas, nes",3,"Fish and crustaceans, molluscs and other aquatic invertebrates",46961730.0
2015,Export,DZA,Algeria,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,1411633.0
2015,Export,AGO,Angola,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,379925.0
2015,Export,AUS,Australia,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,4977078.0
2015,Export,BHS,Bahamas,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,40425.0
2015,Export,BHR,Bahrain,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,2257.0
2015,Export,BEL,Belgium,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,2977498.0
2015,Export,SLB,Solomon Isds,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,6220.0
2015,Export,KHM,Cambodia,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,14298193.0
2015,Export,CAN,Canada,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,2318135.0
2015,Export,CHL,Chile,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,1147101.0
2015,Export,CHN,China,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,4793935.0
2015,Export,COL,Colombia,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,1495.0
2015,Export,HRV,Croatia,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,2270002.0
2015,Export,CYP,Cyprus,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,135030.0
2015,Export,DNK,Denmark,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,65748.0
2015,Export,DOM,Dominican Rep.,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,42488.0
2015,Export,FJI,Fiji,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,831090.0
2015,Export,FRA,France,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,1325165.0
2015,Export,DEU,Germany,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,22662761.0
2015,Export,GHA,Ghana,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,418017.0
2015,Export,KIR,Kiribati,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,2761.0
2015,Export,GRC,Greece,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,949926.0
2015,Export,HND,Honduras,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,1599472.0
2015,Export,HKG,"China, Hong Kong SAR",1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,3724905.0
2015,Export,HUN,Hungary,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,78730.0
2015,Export,IDN,Indonesia,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,126358.0
2015,Export,ISR,Israel,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,5790960.0
2015,Export,ITA,Italy,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,1320821.0
2015,Export,CIV,Côte d'Ivoire,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,81186.0
2015,Export,JPN,Japan,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,74056684.0
2015,Export,JOR,Jordan,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,1383419.0
2015,Export,KEN,Kenya,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,128031.0
2015,Export,KOR,Rep. of Korea,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,50153664.0
2015,Export,KWT,Kuwait,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,233609.0
2015,Export,LAO,Lao People's Dem. Rep.,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,780235.0
2015,Export,LBN,Lebanon,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,3172786.0
2015,Export,LVA,Latvia,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,262198.0
2015,Export,LBY,Libya,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,5273870.0
2015,Export,LTU,Lithuania,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,72522.0
2015,Export,MYS,Malaysia,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,702585.0
2015,Export,MLT,Malta,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,145110.0
2015,Export,MUS,Mauritius,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,72492.0
2015,Export,MEX,Mexico,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,1640850.0
2015,Export,S19,"Other Asia, nes",1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,4644525.0
2015,Export,MAR,Morocco,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,94050.0
2015,Export,MOZ,Mozambique,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,1200.0
2015,Export,OMN,Oman,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,3441036.0
