refYear,refMonth,reporterDesc,flowDesc,partnerDesc,classificationCode,cmdCode,cmdDesc,qty,qtyUnitAbbr,netWgt,fobvalue,primaryValue
52,2015,X,579,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,1077028.0,0
52,2015,X,580,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,426473.0,0
52,2015,X,586,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,22269904.0,0
52,2015,X,591,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,5997159.0,0
52,2015,X,598,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,854986.0,0
52,2015,X,604,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,4861395.0,0
52,2015,X,608,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,72214124.0,0
52,2015,X,616,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,13195713.0,0
52,2015,X,620,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,26393430.0,0
52,2015,X,634,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,7819330.0,0
52,2015,X,642,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,4790447.0,0
52,2015,X,643,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,77230909.0,0
52,2015,X,682,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,65632016.0,0
52,2015,X,686,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,87100.0,0
52,2015,X,699,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,19842922.0,0
52,2015,X,702,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,85632959.0,0
52,2015,X,703,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,77130.0,0
52,2015,X,705,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,3640962.0,0
52,2015,X,710,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,2190650.0,0
52,2015,X,716,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,1109805.0,0
52,2015,X,724,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,64175800.0,0
52,2015,X,729,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,153970.0,0
52,2015,X,752,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,11978602.0,0
52,2015,X,757,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,28115233.0,0
52,2015,X,760,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,1300001.0,0
52,2015,X,764,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,181196715.0,0
52,2015,X,768,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,119655.0,0
52,2015,X,780,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,1191837.0,0
52,2015,X,784,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,48639041.0,0
52,2015,X,788,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,776961.0,0
52,2015,X,792,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,6375830.0,0
52,2015,X,804,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,10319704.0,0
52,2015,X,818,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,62362803.0,0
52,2015,X,826,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,112303736.0,0
52,2015,X,834,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,352980.0,0
52,2015,X,842,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,812714850.0,0
52,2015,X,858,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,3494298.0,0
52,2015,X,860,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,145870.0,0
52,2015,X,862,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,164595.0,0
52,2015,X,899,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,46961730.0,0
52,2015,X,0,0,HS,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,4,True,86292818.0,True,408568581.0,6
52,2015,X,12,0,HS,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,4,True,284432.0,True,1411633.0,6
52,2015,X,24,0,HS,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,4,True,76552.0,True,379925.0,6
52,2015,X,36,0,HS,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,4,True,1250568.0,True,4977078.0,6
52,2015,X,44,0,HS,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,4,True,8145.0,True,40425.0,6
52,2015,X,48,0,HS,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,4,True,466.0,True,2257.0,6
52,2015,X,56,0,HS,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,4,True,609278.0,True,2977498.0,6
52,2015,X,90,0,HS,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,4,True,1571.0,True,6220.0,6
52,2015,X,116,0,HS,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,4,True,3076479.0,True,14298193.0,6
52,2015,X,124,0,HS,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,4,True,477812.0,True,2318135.0,6
52,2015,X,152,0,HS,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,4,True,231157.0,True,1147101.0,6
52,2015,X,156,0,HS,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,4,True,1194683.0,True,4793935.0,6
52,2015,X,170,0,HS,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,4,True,378.0,True,1495.0,6
52,2015,X,191,0,HS,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,4,True,457386.0,True,2270002.0,6
52,2015,X,196,0,HS,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,4,True,27462.0,True,135030.0,6
52,2015,X,208,0,HS,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,4,True,15272.0,True,65748.0,6
52,2015,X,214,0,HS,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,4,True,8561.0,True,42488.0,6
52,2015,X,242,0,HS,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,4,True,170331.0,True,831090.0,6
52,2015,X,251,0,HS,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,4,True,318538.0,True,1325165.0,6
52,2015,X,276,0,HS,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,4,True,4605446.0,True,22662761.0,6
52,2015,X,288,0,HS,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,4,True,91681.0,True,418017.0,6
52,2015,X,296,0,HS,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,4,True,727.0,True,2761.0,6
52,2015,X,300,0,HS,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,4,True,191402.0,True,949926.0,6
52,2015,X,340,0,HS,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,4,True,488572.0,True,1599472.0,6
52,2015,X,344,0,HS,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,4,True,807293.0,True,3724905.0,6
52,2015,X,348,0,HS,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,4,True,17179.0,True,78730.0,6
52,2015,X,360,0,HS,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,4,True,26251.0,True,126358.0,6
52,2015,X,376,0,HS,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,4,True,1185941.0,True,5790960.0,6
52,2015,X,380,0,HS,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,4,True,307747.0,True,1320821.0,6
52,2015,X,384,0,HS,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,4,True,16402.0,True,81186.0,6
52,2015,X,392,0,HS,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,4,True,15612822.0,True,74056684.0,6
52,2015,X,400,0,HS,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,4,True,280277.0,True,1383419.0,6
52,2015,X,404,0,HS,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,4,True,29185.0,True,128031.0,6
52,2015,X,410,0,HS,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,4,True,10452492.0,True,50153664.0,6
52,2015,X,414,0,HS,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,4,True,47225.0,True,233609.0,6
52,2015,X,418,0,HS,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,4,True,195479.0,True,780235.0,6
52,2015,X,422,0,HS,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,4,True,640841.0,True,3172786.0,6
52,2015,X,428,0,HS,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,4,True,52831.0,True,262198.0,6
52,2015,X,434,0,HS,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,4,True,1062639.0,True,5273870.0,6
52,2015,X,440,0,HS,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,4,True,14613.0,True,72522.0,6
52,2015,X,458,0,HS,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,4,True,164334.0,True,702585.0,6
52,2015,X,470,0,HS,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,4,True,29238.0,True,145110.0,6
52,2015,X,480,0,HS,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,4,True,15553.0,True,72492.0,6
52,2015,X,484,0,HS,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,4,True,348081.0,True,1640850.0,6
52,2015,X,490,0,HS,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,4,True,937874.0,True,4644525.0,6
52,2015,X,504,0,HS,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,4,True,18950.0,True,94050.0,6
52,2015,X,508,0,HS,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,4,True,242.0,True,1200.0,6
52,2015,X,512,0,HS,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,4,True,715434.0,True,3441036.0,6
52,2015,X,528,0,HS,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,4,True,2197791.0,True,10654597.0,6
52,2015,X,540,0,HS,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,4,True,8115.0,True,38393.0,6
52,2015,X,554,0,HS,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,4,True,307635.0,True,1478041.0,6
52,2015,X,566,0,HS,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,4,True,42194.0,True,204453.0,6
52,2015,X,579,0,HS,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,4,True,449622.0,True,2230321.0,6
52,2015,X,586,0,HS,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,4,True,14151.0,True,68570.0,6
52,2015,X,598,0,HS,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,4,True,329.0,True,1301.0,6
52,2015,X,604,0,HS,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,4,True,271902.0,True,1349448.0,6
52,2015,X,608,0,HS,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,4,True,16554.0,True,66445.0,6
52,2015,X,616,0,HS,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,4,True,517458.0,True,2554957.0,6
