Year,Trade_Flow,Partner,Partner_ISO,HS_Code,Commodity,Quantity_kg,Unit,Value_USD
2015,Export,Namibia,NAM,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,184401.0
2015,Export,Nepal,NPL,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,317480.0
2015,Export,Netherlands,NLD,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,108422646.0
2015,Export,New Caledonia,NCL,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,193391.0
2015,Export,New Zealand,NZL,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,13615569.0
2015,Export,Nicaragua,NIC,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,1109519.0
2015,Export,Nigeria,NGA,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,703397.0
2015,Export,Norway,NOR,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,1077028.0
2015,Export,N. Mariana Isds,MNP,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,426473.0
2015,Export,Pakistan,PAK,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,22269904.0
2015,Export,Panama,PAN,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,5997159.0
2015,Export,Papua New Guinea,PNG,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,854986.0
2015,Export,Peru,PER,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,4861395.0
2015,Export,Philippines,PHL,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,72214124.0
2015,Export,Poland,POL,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,13195713.0
2015,Export,Portugal,PRT,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,26393430.0
2015,Export,Qatar,QAT,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,7819330.0
2015,Export,Romania,ROU,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,4790447.0
2015,Export,Russian Federation,RUS,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,77230909.0
2015,Export,Saudi Arabia,SAU,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,65632016.0
2015,Export,Senegal,SEN,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,87100.0
2015,Export,India,IND,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,19842922.0
2015,Export,Singapore,SGP,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,85632959.0
2015,Export,Slovakia,SVK,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,77130.0
2015,Export,Slovenia,SVN,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,3640962.0
2015,Export,South Africa,ZAF,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,2190650.0
2015,Export,Zimbabwe,ZWE,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,1109805.0
2015,Export,Spain,ESP,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,64175800.0
2015,Export,Sudan,SDN,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,153970.0
2015,Export,Sweden,SWE,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,11978602.0
2015,Export,Switzerland,CHE,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,28115233.0
2015,Export,Syria,SYR,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,1300001.0
2015,Export,Thailand,THA,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,181196715.0
2015,Export,Togo,TGO,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,119655.0
2015,Export,Trinidad and Tobago,TTO,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,1191837.0
2015,Export,United Arab Emirates,ARE,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,48639041.0
2015,Export,Tunisia,TUN,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,776961.0
