refYear,partnerISO,partnerDesc,flowDesc,cmdCode,cmdDesc,primaryValue
2013,COL,Colombia,Export,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,70000.0
2013,CRI,Costa Rica,Export,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,52105.0
2013,HRV,Croatia,Export,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,2005773.0
2013,CYP,Cyprus,Export,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,340505.0
2013,CZE,Czechia,Export,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,1159343.0
2013,DNK,Denmark,Export,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,98381.0
2013,FJI,Fiji,Export,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,128584.0
2013,FRA,France,Export,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,3401533.0
2013,DEU,Germany,Export,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,38769423.0
2013,GHA,Ghana,Export,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,253630.0
2013,GRC,Greece,Export,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,2532815.0
2013,HND,Honduras,Export,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,270350.0
2013,HKG,"China, Hong Kong SAR",Export,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,4360614.0
2013,HUN,Hungary,Export,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,120695.0
2013,ISR,Israel,Export,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,7104601.0
2013,ITA,Italy,Export,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,1936662.0
2013,CIV,Côte d'Ivoire,Export,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,100993.0
2013,JPN,Japan,Export,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,69282850.0
2013,JOR,Jordan,Export,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,1217730.0
2013,KEN,Kenya,Export,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,7614.0
2013,KOR,Rep. of Korea,Export,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,45022584.0
2013,KWT,Kuwait,Export,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,195523.0
2013,LAO,Lao People's Dem. Rep.,Export,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,70011.0
2013,LBN,Lebanon,Export,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,6206260.0
2013,LVA,Latvia,Export,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,435088.0
2013,LBR,Liberia,Export,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,189220.0
2013,LBY,Libya,Export,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,7085949.0
2013,LTU,Lithuania,Export,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,72820.0
2013,MYS,Malaysia,Export,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,637150.0
2013,MLT,Malta,Export,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,461415.0
2013,MUS,Mauritius,Export,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,18600.0
2013,MEX,Mexico,Export,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,40700.0
2013,S19,"Other Asia, nes",Export,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,5466206.0
2013,MAR,Morocco,Export,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,297690.0
2013,OMN,Oman,Export,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,15400.0
2013,NLD,Netherlands,Export,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,9512478.0
2013,NCL,New Caledonia,Export,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,49347.0
2013,NZL,New Zealand,Export,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,1252149.0
2013,NGA,Nigeria,Export,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,796841.0
2013,NOR,Norway,Export,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,3773126.0
2013,PHL,Philippines,Export,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,21879.0
2013,POL,Poland,Export,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,2872233.0
2013,PRT,Portugal,Export,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,4940478.0
2013,TLS,Timor-Leste,Export,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,439725.0
2013,QAT,Qatar,Export,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,73615.0
2013,ROU,Romania,Export,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,1037540.0
2013,RUS,Russian Federation,Export,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,52193.0
2013,SAU,Saudi Arabia,Export,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,628077.0
2013,SEN,Senegal,Export,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,133193.0
2013,SGP,Singapore,Export,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,8192615.0
2013,SVK,Slovakia,Export,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,59490.0
2013,SVN,Slovenia,Export,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,61875.0
2013,ESP,Spain,Export,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,3072950.0
2013,SDN,Sudan,Export,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,720144.0
2013,SWE,Sweden,Export,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,966482.0
2013,CHE,Switzerland,Export,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,6030676.0
2013,SYR,Syria,Export,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,862408.0
2013,THA,Thailand,Export,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,28911785.0
2013,ARE,United Arab Emirates,Export,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,342410.0
2013,TUN,Tunisia,Export,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,9770447.0
2013,TUR,Türkiye,Export,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,360970.0
2013,UKR,Ukraine,Export,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,240.0
2013,EGY,Egypt,Export,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,1306065.0
2013,GBR,United Kingdom,Export,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,4031880.0
2013,USA,USA,Export,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,101954188.0
2013,YEM,Yemen,Export,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,132600.0
2013,_X ,"Areas, nes",Export,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,1233891.0
2013,AFG,Afghanistan,Export,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",2064105.0
