Year,Trade_Flow,Partner_Country,HS_Code,Product_Description,Weight_KG,Value_USD
2015,Export,Israel,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,0.0,5790960.0
2015,Export,Italy,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,0.0,1320821.0
2015,Export,Côte d'Ivoire,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,0.0,81186.0
2015,Export,Japan,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,0.0,74056684.0
2015,Export,Jordan,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,0.0,1383419.0
2015,Export,Kenya,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,0.0,128031.0
2015,Export,Rep. of Korea,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,0.0,50153664.0
2015,Export,Kuwait,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,0.0,233609.0
2015,Export,Lao People's Dem. Rep.,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,0.0,780235.0
2015,Export,Lebanon,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,0.0,3172786.0
2015,Export,Latvia,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,0.0,262198.0
2015,Export,Libya,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,0.0,5273870.0
2015,Export,Lithuania,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,0.0,72522.0
2015,Export,Malaysia,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,0.0,702585.0
2015,Export,Malta,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,0.0,145110.0
2015,Export,Mauritius,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,0.0,72492.0
2015,Export,Mexico,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,0.0,1640850.0
2015,Export,"Other Asia, nes",1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,0.0,4644525.0
2015,Export,Morocco,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,0.0,94050.0
